top,top_color,bottom,bottom_color,shoes,shoes_color,occasion,temperature,feels_like,weather_type,season_match,score
tank-top,pink,skirt,navy,sandals,burgundy,date,15,17,cloudy,0.767,0.695
t-shirt,navy,leggings,yellow,sneakers,green,casual,8,8,sunny,0.817,0.741
cardigan,navy,jeans,navy,loafers,red,casual,20,18,rain,0.867,0.838
blouse,burgundy,shorts,blue,oxfords,brown,casual,10,11,sunny,0.867,0.787
shirt,yellow,trousers,brown,loafers,black,party,8,9,cloudy,0.867,0.66
blouse,red,sweatpants,yellow,heels,blue,casual,12,7,rain,0.867,0.639
hoodie,navy,leggings,white,oxfords,white,formal,10,10,sunny,0.817,0.748
dress,white,none,none,sandals,yellow,date,25,29,sunny,0.8,0.812
sweater,brown,jeans,green,sneakers,orange,party,18,19,cloudy,0.817,0.651
dress,pink,none,none,sneakers,yellow,party,25,30,sunny,0.8,0.724
cardigan,blue,trousers,black,sandals,burgundy,sport,18,20,sunny,0.867,0.644
sweater,black,jeans,yellow,oxfords,red,party,8,10,cloudy,0.817,0.669
blazer,yellow,jeans,white,oxfords,black,date,10,6,rain,0.867,0.766
tank-top,navy,jeans,gray,sneakers,black,formal,32,33,cloudy,0.9,0.576
tank-top,orange,jeans,black,sandals,yellow,date,25,22,rain,0.9,0.752
blouse,orange,trousers,black,sneakers,beige,sport,15,11,rain,0.867,0.675
polo,beige,skirt,gray,sneakers,purple,business,20,20,sunny,0.867,0.773
cardigan,red,sweatpants,navy,oxfords,red,date,10,11,sunny,0.867,0.703
t-shirt,brown,trousers,beige,oxfords,navy,sport,10,9,sunny,0.817,0.631
blouse,brown,jeans,gray,sneakers,white,business,18,17,sunny,0.867,0.739
cardigan,white,leggings,navy,heels,white,business,18,13,rain,0.867,0.847
blouse,beige,skirt,burgundy,sneakers,gray,party,22,20,rain,0.867,0.864
hoodie,pink,leggings,red,boots,beige,sport,5,1,rain,0.817,0.685
t-shirt,gray,shorts,gray,loafers,navy,business,20,22,sunny,0.817,0.661
t-shirt,orange,skirt,blue,boots,purple,casual,12,10,sunny,0.817,0.769
blazer,white,jeans,brown,oxfords,white,formal,5,2,rain,0.867,0.772
t-shirt,white,shorts,white,sneakers,green,formal,25,24,cloudy,1.0,0.555
t-shirt,white,trousers,gray,oxfords,gray,casual,28,33,sunny,0.667,0.793
blouse,black,jeans,yellow,loafers,green,sport,25,26,sunny,0.817,0.536
blouse,white,trousers,orange,loafers,white,casual,22,23,cloudy,0.867,0.801
polo,yellow,jeans,blue,oxfords,navy,casual,22,27,sunny,0.867,0.74
cardigan,yellow,sweatpants,gray,loafers,red,date,12,10,sunny,0.867,0.653
polo,navy,leggings,yellow,sandals,beige,business,28,32,sunny,0.9,0.703
cardigan,blue,shorts,green,loafers,white,casual,15,15,cloudy,0.867,0.785
blouse,black,trousers,white,sneakers,black,sport,25,23,cloudy,0.8,0.755
shirt,black,skirt,purple,sandals,navy,date,15,14,cloudy,0.867,0.778
polo,black,jeans,navy,oxfords,black,business,18,16,sunny,0.867,0.786
shirt,black,trousers,pink,heels,black,formal,22,20,rain,0.867,0.952
tank-top,black,jeans,gray,sandals,black,sport,28,29,sunny,0.9,0.768
blazer,black,skirt,white,sandals,black,business,20,22,sunny,0.867,0.737
t-shirt,navy,shorts,burgundy,loafers,yellow,casual,28,33,sunny,0.917,0.918
t-shirt,black,leggings,brown,sneakers,gray,sport,12,11,sunny,0.817,0.867
blouse,brown,jeans,burgundy,heels,red,party,28,30,sunny,0.817,0.755
t-shirt,navy,jeans,beige,boots,blue,business,10,9,cloudy,0.817,0.703
hoodie,black,trousers,purple,loafers,gray,sport,12,13,cloudy,0.817,0.628
dress,pink,none,none,oxfords,gray,party,5,3,cloudy,0.817,0.641
blazer,gray,trousers,white,sandals,yellow,formal,20,20,sunny,0.867,0.766
dress,blue,none,none,sneakers,purple,sport,20,19,cloudy,0.817,0.692
cardigan,purple,skirt,green,sneakers,white,business,10,9,sunny,0.867,0.694
hoodie,black,trousers,burgundy,loafers,burgundy,date,20,18,rain,0.817,0.779
shirt,yellow,jeans,black,loafers,burgundy,casual,28,30,sunny,0.767,0.811
t-shirt,black,skirt,beige,sandals,navy,sport,22,19,rain,0.817,0.652
polo,gray,leggings,burgundy,heels,purple,party,5,4,rain,0.867,0.691
t-shirt,purple,sweatpants,black,loafers,purple,business,12,10,sunny,0.817,0.639
shirt,pink,leggings,purple,loafers,red,party,22,22,cloudy,0.867,0.733
blazer,green,jeans,pink,sneakers,purple,business,2,2,cloudy,0.933,0.697
t-shirt,blue,leggings,green,heels,purple,casual,20,19,sunny,0.817,0.745
shirt,gray,trousers,navy,loafers,navy,business,22,18,rain,0.867,0.965
blazer,burgundy,sweatpants,purple,loafers,black,formal,22,26,sunny,0.867,0.677
tank-top,black,skirt,black,boots,navy,sport,5,6,cloudy,0.767,0.573
polo,black,trousers,navy,oxfords,black,business,18,17,rain,0.867,0.775
blazer,burgundy,skirt,pink,heels,white,party,12,10,cloudy,0.867,0.845
t-shirt,black,leggings,red,sandals,purple,casual,22,18,rain,0.817,0.808
blouse,orange,shorts,navy,oxfords,yellow,formal,12,14,sunny,0.867,0.647
blouse,brown,jeans,white,sandals,black,business,25,26,sunny,0.9,0.758
sweater,yellow,trousers,purple,loafers,pink,date,10,10,cloudy,0.817,0.794
polo,white,jeans,beige,sandals,black,formal,25,21,rain,0.9,0.722
polo,navy,leggings,white,heels,blue,formal,15,10,rain,0.867,0.83
blouse,green,trousers,orange,oxfords,pink,sport,20,15,rain,0.867,0.52
hoodie,white,leggings,navy,sneakers,red,date,15,17,sunny,0.817,0.795
blouse,blue,trousers,blue,sandals,navy,formal,28,33,sunny,0.8,0.768
blouse,navy,skirt,gray,sandals,black,formal,25,26,cloudy,1.0,0.804
dress,beige,none,none,oxfords,purple,date,28,27,rain,0.667,0.814
shirt,yellow,shorts,brown,loafers,burgundy,formal,32,32,cloudy,0.867,0.753
tank-top,gray,jeans,red,boots,beige,casual,22,20,cloudy,0.767,0.784
blouse,navy,jeans,white,heels,purple,sport,20,22,cloudy,0.867,0.591
shirt,yellow,leggings,purple,oxfords,green,date,10,11,sunny,0.867,0.732
dress,yellow,none,none,sneakers,gray,business,22,18,rain,0.817,0.708
dress,pink,none,none,loafers,black,party,18,15,rain,0.817,0.732
blouse,purple,skirt,navy,loafers,gray,formal,28,24,rain,0.917,0.819
polo,navy,shorts,blue,loafers,blue,casual,25,23,cloudy,0.917,0.824
blazer,red,shorts,black,boots,green,date,12,14,sunny,0.867,0.755
blouse,pink,trousers,blue,heels,yellow,date,18,19,cloudy,0.867,0.827
t-shirt,red,skirt,red,heels,burgundy,party,32,37,sunny,0.917,0.781
t-shirt,red,shorts,gray,oxfords,purple,business,20,19,cloudy,0.817,0.644
hoodie,black,jeans,gray,boots,beige,business,5,1,snow,0.817,0.716
dress,black,none,none,sandals,orange,date,25,27,cloudy,0.8,0.78
cardigan,green,trousers,navy,sandals,navy,business,22,21,cloudy,0.867,0.67
shirt,white,skirt,gray,sneakers,beige,business,18,16,sunny,0.867,0.824
sweater,purple,trousers,purple,sneakers,pink,casual,5,1,rain,0.817,0.72
t-shirt,beige,trousers,beige,oxfords,gray,business,20,21,cloudy,0.817,0.834
dress,brown,none,none,boots,burgundy,date,8,6,sunny,0.817,0.675
dress,pink,none,none,sandals,navy,date,28,28,cloudy,0.8,0.805
t-shirt,burgundy,jeans,gray,loafers,purple,casual,15,13,cloudy,0.817,0.828
tank-top,white,shorts,black,heels,navy,formal,32,33,sunny,0.917,0.748
blazer,burgundy,sweatpants,green,oxfords,white,formal,8,5,rain,0.867,0.75
blouse,white,shorts,orange,loafers,white,formal,25,29,sunny,0.917,0.717
sweater,black,trousers,navy,boots,navy,casual,18,17,cloudy,0.817,0.734
dress,beige,none,none,sandals,black,date,15,15,sunny,0.817,0.713
cardigan,black,skirt,blue,sandals,beige,formal,25,25,cloudy,0.833,0.702
tank-top,black,leggings,beige,loafers,navy,business,25,29,sunny,0.817,0.751
blazer,burgundy,skirt,gray,sneakers,white,formal,15,13,sunny,0.867,0.786
shirt,white,jeans,white,boots,purple,formal,8,10,cloudy,0.867,0.775
dress,purple,none,none,loafers,white,business,20,20,sunny,0.817,0.758
blouse,black,shorts,gray,loafers,navy,formal,28,23,rain,0.917,0.775
blazer,purple,skirt,yellow,loafers,green,date,18,19,sunny,0.867,0.752
hoodie,gray,jeans,pink,sneakers,yellow,formal,12,7,rain,0.817,0.524
tank-top,black,jeans,orange,sandals,navy,business,28,29,sunny,0.9,0.627
t-shirt,red,leggings,black,heels,navy,party,15,11,rain,0.817,0.756
sweater,yellow,leggings,burgundy,boots,black,date,2,1,cloudy,1.0,0.729
tank-top,beige,jeans,brown,sandals,navy,sport,32,27,rain,0.9,0.73
cardigan,white,skirt,white,sneakers,white,formal,15,17,cloudy,0.867,0.713
blouse,black,trousers,pink,sandals,blue,casual,25,24,rain,0.8,0.757
t-shirt,burgundy,sweatpants,green,loafers,navy,sport,15,12,rain,0.817,0.747
blazer,navy,leggings,navy,sneakers,burgundy,date,20,18,rain,0.867,0.793
hoodie,black,skirt,green,loafers,yellow,sport,15,13,rain,0.817,0.567
shirt,beige,jeans,brown,sneakers,navy,business,22,18,rain,0.867,0.817
tank-top,black,jeans,blue,oxfords,yellow,sport,22,27,sunny,0.767,0.675
blouse,yellow,jeans,white,loafers,pink,casual,28,32,sunny,0.817,0.693
polo,purple,sweatpants,navy,sandals,red,formal,15,11,rain,0.867,0.553
dress,burgundy,none,none,loafers,pink,formal,25,27,sunny,0.717,0.764
blouse,pink,shorts,blue,heels,red,party,28,26,rain,0.917,0.708
cardigan,gray,jeans,white,loafers,navy,business,2,-1,snow,0.933,0.813
cardigan,brown,sweatpants,black,loafers,navy,formal,8,10,sunny,0.867,0.651
shirt,black,jeans,white,loafers,pink,casual,28,26,cloudy,0.767,0.797
blouse,pink,shorts,white,heels,navy,business,28,23,rain,0.917,0.787
cardigan,purple,trousers,pink,oxfords,black,business,10,10,sunny,0.867,0.8
sweater,gray,trousers,gray,heels,orange,business,8,6,cloudy,0.817,0.802
t-shirt,purple,trousers,navy,boots,blue,casual,2,0,cloudy,0.733,0.667
sweater,pink,jeans,navy,oxfords,red,date,5,2,rain,0.817,0.736
hoodie,gray,jeans,gray,heels,beige,casual,32,32,cloudy,0.55,0.711
tank-top,beige,leggings,red,loafers,black,party,15,16,cloudy,0.767,0.752
t-shirt,gray,jeans,blue,heels,white,casual,15,14,sunny,0.817,0.866
blouse,orange,shorts,navy,heels,blue,party,32,37,sunny,0.917,0.761
tank-top,green,jeans,black,heels,navy,sport,25,20,rain,0.817,0.646
t-shirt,white,shorts,pink,sandals,black,date,28,28,cloudy,1.0,0.754
blazer,yellow,trousers,pink,sneakers,black,party,8,7,sunny,0.867,0.651
blouse,purple,skirt,black,heels,navy,date,22,17,rain,0.867,0.815
sweater,navy,leggings,white,sneakers,navy,business,18,20,sunny,0.817,0.716
sweater,beige,sweatpants,yellow,loafers,navy,business,22,20,cloudy,0.817,0.683
t-shirt,burgundy,jeans,beige,loafers,black,date,22,26,sunny,0.817,0.763
tank-top,blue,jeans,gray,sneakers,brown,sport,28,27,rain,0.9,0.763
sweater,navy,skirt,red,boots,red,date,8,10,cloudy,0.817,0.809
dress,gray,none,none,loafers,black,casual,22,19,rain,0.817,0.857
polo,navy,skirt,navy,boots,gray,business,12,10,rain,0.867,0.783
dress,gray,none,none,sandals,blue,casual,28,30,sunny,0.8,0.8
blazer,blue,trousers,black,sneakers,burgundy,formal,25,23,rain,0.667,0.769
t-shirt,black,jeans,black,sneakers,black,sport,22,18,rain,0.817,0.759
blazer,navy,sweatpants,beige,sneakers,yellow,business,10,8,cloudy,0.867,0.646
dress,blue,none,none,boots,yellow,formal,20,18,rain,0.817,0.735
shirt,brown,skirt,burgundy,loafers,orange,date,28,32,sunny,0.867,0.791
t-shirt,blue,skirt,gray,sandals,navy,sport,28,30,cloudy,1.0,0.716
tank-top,green,sweatpants,navy,sneakers,navy,business,15,16,sunny,0.767,0.54
cardigan,gray,jeans,purple,heels,red,casual,18,16,cloudy,0.867,0.741
hoodie,navy,leggings,purple,loafers,gray,sport,18,16,sunny,0.817,0.741
dress,purple,none,none,heels,black,party,25,27,cloudy,0.717,0.788
blazer,navy,jeans,beige,sneakers,burgundy,business,20,22,sunny,0.867,0.787
t-shirt,brown,trousers,white,heels,black,sport,32,34,sunny,0.717,0.672
t-shirt,purple,shorts,black,heels,pink,sport,20,22,sunny,0.817,0.738
tank-top,beige,trousers,yellow,loafers,purple,casual,20,21,sunny,0.767,0.777
blouse,white,jeans,gray,heels,gray,business,25,26,sunny,0.817,0.796
hoodie,black,trousers,black,loafers,gray,formal,12,10,sunny,0.817,0.786
blouse,blue,jeans,black,oxfords,black,formal,15,14,cloudy,0.867,0.867
dress,black,none,none,sneakers,white,casual,25,30,sunny,0.8,0.829
shirt,yellow,shorts,orange,heels,brown,party,32,27,rain,0.867,0.708
sweater,yellow,sweatpants,navy,sneakers,navy,business,10,11,cloudy,0.817,0.631
blouse,burgundy,shorts,black,sandals,red,date,18,19,sunny,0.867,0.816
shirt,black,skirt,red,sneakers,brown,party,15,15,sunny,0.867,0.727
dress,navy,none,none,sneakers,blue,casual,32,28,rain,0.8,0.794
polo,purple,trousers,orange,sneakers,yellow,sport,28,23,rain,0.8,0.73
blazer,burgundy,leggings,white,sneakers,navy,casual,12,13,cloudy,0.867,0.845
hoodie,brown,leggings,pink,boots,yellow,party,12,10,cloudy,0.817,0.637
t-shirt,white,jeans,black,sneakers,blue,sport,18,16,sunny,0.817,0.795
t-shirt,black,sweatpants,orange,boots,burgundy,date,10,10,sunny,0.817,0.667
t-shirt,purple,leggings,navy,sandals,red,sport,32,34,sunny,0.9,0.792
polo,yellow,trousers,white,sneakers,orange,business,25,23,cloudy,0.8,0.753
blouse,black,trousers,gray,heels,burgundy,date,32,35,sunny,0.717,0.847
hoodie,orange,leggings,black,oxfords,white,casual,5,4,cloudy,0.817,0.788
shirt,purple,skirt,burgundy,sandals,beige,party,25,30,sunny,0.95,0.849
blouse,navy,leggings,beige,sandals,white,formal,20,19,cloudy,0.867,0.802
blouse,red,jeans,orange,sandals,green,date,28,29,sunny,0.9,0.742
t-shirt,white,skirt,yellow,oxfords,blue,sport,12,13,cloudy,0.817,0.596
blouse,beige,sweatpants,red,oxfords,purple,sport,8,8,sunny,0.867,0.526
dress,pink,none,none,sandals,pink,party,32,36,sunny,0.8,0.79
polo,navy,trousers,burgundy,heels,black,formal,8,8,cloudy,0.867,0.829
shirt,navy,jeans,red,sneakers,white,sport,20,15,rain,0.867,0.813
cardigan,burgundy,trousers,brown,sneakers,white,date,20,19,sunny,0.867,0.761
dress,pink,none,none,loafers,red,party,28,33,sunny,0.717,0.705
dress,yellow,none,none,sandals,brown,casual,32,36,sunny,0.8,0.759
sweater,yellow,skirt,orange,sneakers,white,casual,10,5,rain,0.817,0.668
blazer,white,shorts,gray,heels,burgundy,formal,18,16,cloudy,0.867,0.785
dress,beige,none,none,sneakers,navy,formal,32,33,cloudy,0.8,0.779
blazer,green,jeans,burgundy,sneakers,black,formal,12,7,rain,0.867,0.687
shirt,blue,shorts,navy,sneakers,navy,business,32,27,rain,0.95,0.671
shirt,black,trousers,green,sneakers,beige,sport,8,4,rain,0.867,0.635
shirt,navy,leggings,white,loafers,beige,formal,8,8,sunny,0.867,0.795
dress,burgundy,none,none,sneakers,burgundy,party,28,30,sunny,0.8,0.732
polo,yellow,jeans,burgundy,loafers,white,formal,20,20,sunny,0.867,0.756
t-shirt,purple,leggings,pink,loafers,white,party,5,6,cloudy,0.817,0.509
blazer,beige,jeans,navy,loafers,green,date,18,20,sunny,0.867,0.803
t-shirt,yellow,jeans,white,boots,navy,date,8,7,sunny,0.817,0.716
tank-top,white,sweatpants,white,boots,red,business,18,20,cloudy,0.767,0.607
blazer,gray,jeans,white,boots,brown,business,8,7,sunny,0.867,0.749
cardigan,orange,jeans,burgundy,loafers,black,date,5,7,cloudy,0.867,0.75
sweater,gray,shorts,orange,oxfords,white,casual,18,13,rain,0.817,0.747
dress,green,none,none,loafers,burgundy,formal,32,36,sunny,0.717,0.762
polo,blue,skirt,yellow,sneakers,orange,casual,25,24,cloudy,1.0,0.877
dress,black,none,none,sneakers,burgundy,party,5,-3,snow,0.817,0.579
blouse,purple,leggings,green,sneakers,gray,casual,20,17,rain,0.867,0.852
dress,pink,none,none,loafers,orange,date,20,21,cloudy,0.817,0.727
hoodie,pink,jeans,navy,oxfords,black,sport,10,9,cloudy,0.817,0.583
tank-top,yellow,skirt,pink,loafers,white,date,15,13,cloudy,0.767,0.686
shirt,navy,sweatpants,gray,loafers,purple,date,5,7,cloudy,0.867,0.673
tank-top,gray,jeans,burgundy,loafers,burgundy,party,32,35,sunny,0.817,0.699
t-shirt,black,trousers,orange,sneakers,blue,sport,22,26,sunny,0.817,0.74
dress,purple,none,none,sandals,black,date,25,27,sunny,0.8,0.808
tank-top,white,leggings,black,oxfords,navy,formal,20,21,cloudy,0.767,0.8
t-shirt,red,trousers,blue,sneakers,yellow,sport,8,10,sunny,0.817,0.728
t-shirt,blue,jeans,pink,boots,navy,formal,8,8,cloudy,0.817,0.582
dress,black,none,none,oxfords,red,date,10,11,cloudy,0.817,0.729
blouse,beige,jeans,navy,sandals,pink,business,25,24,cloudy,0.9,0.722
t-shirt,gray,skirt,purple,sneakers,brown,casual,28,28,cloudy,1.0,0.815
t-shirt,navy,trousers,beige,heels,white,sport,5,6,cloudy,0.817,0.565
t-shirt,black,trousers,beige,heels,purple,date,10,8,cloudy,0.817,0.66
hoodie,white,leggings,red,loafers,purple,party,22,23,sunny,0.817,0.647
t-shirt,black,trousers,black,oxfords,navy,formal,18,13,rain,0.817,0.727
cardigan,red,jeans,orange,heels,black,party,32,34,sunny,0.65,0.691
tank-top,red,trousers,beige,sneakers,brown,date,15,14,rain,0.767,0.733
dress,red,none,none,loafers,orange,sport,18,16,rain,0.817,0.466
blouse,black,skirt,brown,sandals,white,date,32,33,sunny,1.0,0.862
t-shirt,blue,shorts,orange,sandals,green,casual,28,32,sunny,1.0,0.897
t-shirt,navy,leggings,gray,sandals,white,business,25,28,sunny,0.9,0.742
blouse,orange,jeans,green,heels,navy,formal,15,14,rain,0.867,0.756
cardigan,beige,leggings,navy,oxfords,navy,date,8,9,cloudy,0.867,0.768
blouse,navy,jeans,black,loafers,pink,formal,22,23,sunny,0.867,0.754
blouse,navy,jeans,gray,sneakers,pink,business,5,0,snow,0.867,0.652
tank-top,black,skirt,orange,sandals,navy,party,25,24,cloudy,1.0,0.796
dress,red,none,none,sandals,navy,party,28,23,rain,0.8,0.778
tank-top,gray,skirt,burgundy,oxfords,navy,sport,15,13,sunny,0.767,0.695
t-shirt,beige,sweatpants,navy,loafers,yellow,business,18,18,cloudy,0.817,0.701
t-shirt,white,jeans,white,sandals,beige,casual,22,23,sunny,0.817,0.881
shirt,burgundy,trousers,blue,sneakers,red,formal,22,21,cloudy,0.867,0.756
sweater,purple,jeans,navy,sneakers,navy,formal,12,13,sunny,0.817,0.628
dress,white,none,none,heels,navy,business,22,20,cloudy,0.817,0.828
cardigan,red,leggings,blue,loafers,burgundy,business,12,13,cloudy,0.867,0.768
blouse,blue,sweatpants,beige,sneakers,black,party,10,8,sunny,0.867,0.631
blouse,black,sweatpants,black,heels,beige,sport,20,21,sunny,0.867,0.691
t-shirt,purple,jeans,blue,heels,brown,date,20,20,sunny,0.817,0.753
shirt,purple,jeans,blue,oxfords,yellow,date,10,6,rain,0.867,0.692
shirt,red,jeans,pink,boots,pink,date,15,17,sunny,0.867,0.794
hoodie,brown,trousers,red,sneakers,white,date,12,10,sunny,0.817,0.713
hoodie,red,trousers,black,oxfords,black,sport,2,0,cloudy,0.933,0.624
cardigan,purple,skirt,gray,oxfords,black,business,8,8,sunny,0.867,0.739
shirt,navy,jeans,navy,sneakers,white,business,28,33,sunny,0.85,0.735
blouse,pink,shorts,beige,heels,pink,party,22,21,cloudy,0.867,0.799
tank-top,gray,skirt,green,sandals,purple,sport,32,37,sunny,1.0,0.714
shirt,gray,trousers,gray,loafers,green,business,15,17,cloudy,0.867,0.86
blouse,blue,jeans,gray,loafers,white,formal,25,20,rain,0.817,0.852
dress,black,none,none,sandals,black,formal,28,23,rain,0.8,0.687
blazer,brown,skirt,green,sneakers,gray,business,5,3,rain,0.867,0.673
dress,red,none,none,loafers,purple,party,22,19,rain,0.817,0.756
blouse,blue,trousers,pink,loafers,brown,date,10,12,sunny,0.867,0.815
dress,yellow,none,none,sneakers,purple,sport,22,20,rain,0.817,0.697
t-shirt,burgundy,skirt,navy,boots,pink,casual,12,14,cloudy,0.817,0.723
blouse,gray,jeans,pink,sneakers,burgundy,date,18,17,sunny,0.867,0.822
blouse,yellow,jeans,gray,heels,yellow,party,5,-1,snow,0.867,0.725
dress,navy,none,none,sneakers,black,date,25,24,rain,0.8,0.777
blazer,beige,trousers,purple,boots,green,business,10,7,rain,0.867,0.78
cardigan,yellow,skirt,black,sneakers,burgundy,date,22,26,sunny,0.867,0.691
shirt,black,jeans,navy,sneakers,green,party,15,15,sunny,0.867,0.719
hoodie,red,jeans,navy,loafers,pink,party,15,17,sunny,0.817,0.694
dress,burgundy,none,none,oxfords,burgundy,party,20,19,sunny,0.817,0.788
dress,navy,none,none,sneakers,red,date,22,17,rain,0.817,0.707
dress,gray,none,none,sneakers,brown,party,32,34,sunny,0.8,0.711
shirt,white,leggings,orange,oxfords,black,casual,8,8,sunny,0.867,0.71
t-shirt,orange,sweatpants,yellow,sneakers,white,sport,10,8,cloudy,0.817,0.718
t-shirt,beige,skirt,burgundy,sneakers,brown,date,22,23,sunny,0.817,0.798
hoodie,beige,leggings,gray,sneakers,white,casual,12,10,rain,0.817,0.908
sweater,white,sweatpants,white,heels,navy,business,2,-2,snow,0.867,0.672
sweater,white,jeans,gray,heels,white,casual,20,20,cloudy,0.817,0.817
shirt,navy,trousers,blue,loafers,purple,formal,15,13,sunny,0.867,0.814
tank-top,gray,leggings,blue,sneakers,gray,sport,12,8,rain,0.767,0.807
blazer,navy,shorts,white,sneakers,yellow,formal,32,30,cloudy,0.867,0.555
dress,pink,none,none,loafers,red,party,10,12,cloudy,0.817,0.672
sweater,pink,skirt,green,loafers,navy,date,15,13,sunny,0.817,0.747
dress,burgundy,none,none,oxfords,black,party,22,17,rain,0.817,0.73
tank-top,white,jeans,gray,loafers,brown,sport,32,31,rain,0.817,0.668
shirt,navy,jeans,orange,loafers,green,date,18,16,sunny,0.867,0.815
cardigan,white,jeans,black,oxfords,gray,formal,22,23,sunny,0.867,0.856
dress,white,none,none,heels,orange,sport,25,22,rain,0.717,0.614
t-shirt,blue,leggings,beige,sneakers,black,sport,32,34,sunny,0.9,0.91
shirt,white,sweatpants,gray,sneakers,gray,formal,10,11,sunny,0.867,0.728
hoodie,blue,trousers,gray,heels,red,casual,22,25,sunny,0.817,0.745
blazer,red,jeans,navy,sneakers,brown,business,5,3,cloudy,0.867,0.761
shirt,brown,trousers,black,boots,pink,party,12,10,sunny,0.867,0.754
hoodie,burgundy,skirt,gray,heels,orange,casual,12,12,sunny,0.817,0.755
sweater,black,sweatpants,gray,boots,blue,sport,2,3,cloudy,1.0,0.761
hoodie,gray,sweatpants,orange,oxfords,green,casual,10,12,sunny,0.817,0.79
sweater,black,jeans,pink,oxfords,burgundy,date,5,4,cloudy,0.817,0.758
blazer,black,shorts,yellow,sneakers,purple,party,28,32,sunny,0.867,0.608
blazer,blue,trousers,pink,heels,white,formal,5,6,cloudy,0.867,0.875
dress,orange,none,none,sneakers,gray,date,22,21,rain,0.817,0.719
polo,blue,skirt,burgundy,oxfords,purple,casual,28,31,sunny,0.867,0.754
sweater,black,jeans,navy,boots,navy,date,2,-3,snow,1.0,0.815
shirt,white,jeans,blue,boots,red,sport,15,17,cloudy,0.867,0.643
sweater,gray,leggings,black,loafers,pink,date,22,23,sunny,0.817,0.777
shirt,orange,trousers,burgundy,sneakers,black,formal,32,33,sunny,0.75,0.703
blouse,gray,trousers,gray,oxfords,orange,business,2,-2,snow,0.833,0.76
dress,burgundy,none,none,sandals,purple,formal,15,17,sunny,0.817,0.594
t-shirt,red,skirt,yellow,oxfords,red,sport,28,33,sunny,0.867,0.689
blazer,gray,shorts,red,sandals,navy,formal,28,28,cloudy,0.867,0.62
blouse,orange,jeans,red,oxfords,black,party,15,13,rain,0.867,0.76
cardigan,gray,jeans,pink,sneakers,green,sport,12,8,rain,0.867,0.611
blazer,burgundy,shorts,black,sandals,gray,formal,28,30,sunny,0.867,0.733
cardigan,orange,trousers,red,sandals,navy,party,20,18,sunny,0.867,0.656
hoodie,navy,leggings,blue,loafers,navy,formal,2,2,cloudy,0.933,0.636
t-shirt,purple,skirt,white,oxfords,burgundy,casual,20,19,rain,0.817,0.752
sweater,white,skirt,blue,heels,green,date,5,2,rain,0.817,0.704
sweater,navy,jeans,black,sneakers,navy,formal,12,11,sunny,0.817,0.625
polo,white,jeans,gray,loafers,navy,casual,20,17,rain,0.867,0.889
dress,white,none,none,sandals,white,formal,20,20,cloudy,0.817,0.697
dress,black,none,none,sneakers,white,business,25,23,cloudy,0.8,0.804
sweater,gray,jeans,pink,boots,navy,formal,5,3,cloudy,0.817,0.686
dress,orange,none,none,heels,purple,party,20,22,sunny,0.817,0.798
shirt,beige,jeans,pink,sandals,white,business,15,16,sunny,0.867,0.725
t-shirt,gray,leggings,gray,loafers,purple,business,28,27,cloudy,0.817,0.717
cardigan,brown,trousers,navy,loafers,red,date,2,1,cloudy,0.933,0.719
shirt,gray,skirt,navy,boots,white,business,10,10,sunny,0.867,0.887
t-shirt,red,jeans,gray,heels,orange,party,25,29,sunny,0.817,0.724
blouse,white,jeans,green,sandals,white,business,22,21,rain,0.867,0.714
t-shirt,black,jeans,navy,loafers,black,sport,15,17,cloudy,0.817,0.657
t-shirt,orange,skirt,white,loafers,brown,casual,12,14,cloudy,0.817,0.728
dress,navy,none,none,sandals,gray,sport,32,33,cloudy,0.8,0.733
shirt,yellow,leggings,brown,sneakers,navy,business,12,11,cloudy,0.867,0.753
blouse,yellow,skirt,red,oxfords,navy,date,20,21,sunny,0.867,0.841
hoodie,gray,jeans,orange,sneakers,green,business,8,9,sunny,0.817,0.55
shirt,white,skirt,yellow,sneakers,beige,sport,15,13,sunny,0.867,0.69
blazer,pink,skirt,red,sandals,navy,party,32,34,sunny,0.867,0.806
shirt,burgundy,jeans,blue,loafers,red,casual,18,17,rain,0.867,0.83
dress,purple,none,none,sneakers,burgundy,party,18,17,sunny,0.817,0.615
polo,pink,jeans,yellow,sneakers,red,date,12,9,rain,0.867,0.671
shirt,burgundy,trousers,navy,oxfords,beige,date,12,8,rain,0.867,0.837
polo,black,skirt,blue,sneakers,burgundy,casual,20,16,rain,0.867,0.839
shirt,orange,shorts,yellow,sneakers,navy,formal,22,25,sunny,0.867,0.634
shirt,white,trousers,beige,sneakers,black,formal,12,10,sunny,0.867,0.861
sweater,red,jeans,blue,sneakers,white,sport,18,16,cloudy,0.817,0.733
cardigan,navy,jeans,navy,loafers,green,business,28,30,sunny,0.65,0.61
t-shirt,gray,jeans,black,loafers,navy,sport,12,13,cloudy,0.817,0.649
polo,blue,jeans,black,boots,white,casual,10,12,sunny,0.867,0.869
blouse,burgundy,trousers,gray,boots,yellow,business,18,16,cloudy,0.867,0.876
blazer,yellow,jeans,pink,boots,black,party,8,7,sunny,0.867,0.777
blazer,green,shorts,navy,loafers,white,formal,22,25,sunny,0.867,0.713
dress,white,none,none,sneakers,black,business,8,7,sunny,0.817,0.655
blazer,green,skirt,yellow,sneakers,green,formal,25,24,cloudy,0.867,0.725
